序號,答案
20240101090001,114.05
20240101091001,111.07
20240101092001,346.64
20240101093001,393.7
20240101094001,344.33
20240101095001,1098.95
20240101100001,1433.32
20240101101001,1963.46
20240101102001,1547.44
20240101103001,539.7
20240101104001,1104.06
20240101105001,1103.41
20240101110001,641.79
20240101111001,648.58
20240101112001,284.39
20240101113001,523.15
20240101114001,505.2
20240101115001,273.07
20240101120001,312.03
20240101121001,508.26
20240101122001,254.84
20240101123001,173.81
20240101124001,86.1
20240101125001,65.77
20240101130001,47.65
20240101131001,44.1
20240101132001,35.5
20240101133001,34.5
20240101134001,37.43
20240101135001,43.13
20240101140001,46.72
20240101141001,45.23
20240101142001,42.62
20240101143001,39.06
20240101144001,45.48
20240101145001,49.62
20240101150001,53.87
20240101151001,46.72
20240101152001,28.15
20240101153001,4.43
20240101154001,3.96
20240101155001,4.05
20240101160001,4.06
20240101161001,3.22
20240101162001,1.86
20240101163001,1.59
20240101164001,0.67
20240101165001,0.31
